FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_101_1008_7_4,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of N2O per unit,0.002125336,2023,20/06/2023,1.1
1_101_1008_6_1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e,0.243820317,2023,20/06/2023,1.1
1_101_1008_6_2,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.23878,2023,20/06/2023,1.1
1_101_1008_6_3,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.0030128,2023,20/06/2023,1.1
1_101_1008_6_4,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of N2O per unit,0.002027517,2023,20/06/2023,1.1
1_101_1009_15_1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e,3178.3652,2023,20/06/2023,1.1
1_101_1009_15_2,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of CO2 per unit,3149.67,2023,20/06/2023,1.1
1_101_1009_15_3,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of CH4 per unit,2.1952,2023,20/06/2023,1.1
1_101_1009_15_4,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of N2O per unit,26.5,2023,20/06/2023,1.1
1_101_1009_8_1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e,2.5426884,2023,20/06/2023,1.1
1_101_1009_8_2,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of CO2 per unit,2.51973,2023,20/06/2023,1.1
1_101_1009_8_3,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of CH4 per unit,0.0017584,2023,20/06/2023,1.1
1_101_1009_8_4,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of N2O per unit,0.0212,2023,20/06/2023,1.1
1_101_1009_7_1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e,0.260608999,2023,20/06/2023,1.1
1_101_1009_7_2,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of CO2 per unit,0.25826,2023,20/06/2023,1.1
1_101_1009_7_3,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0001792,2023,20/06/2023,1.1
1_101_1009_7_4,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of N2O per unit,0.002169799,2023,20/06/2023,1.1
1_101_1009_6_1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e,0.247581087,2023,20/06/2023,1.1
