FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
25_300_3042_9_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,miles,kg CO2e of CH4 per unit,0.0001568,2023,20/06/2023,1.1
25_300_3042_9_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,miles,kg CO2e of N2O per unit,0.002116443,2023,20/06/2023,1.1
25_300_3043_9_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.159367376,2023,20/06/2023,1.1
25_300_3043_9_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.15812,2023,20/06/2023,1.1
25_300_3043_9_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.000616,2023,20/06/2023,1.1
25_300_3043_9_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.000631376,2023,20/06/2023,1.1
25_300_3044_9_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e,0.127690668,2023,20/06/2023,1.1
25_300_3044_9_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.12658,2023,20/06/2023,1.1
25_300_3044_9_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.0004704,2023,20/06/2023,1.1
25_300_3044_9_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.000640268,2023,20/06/2023,1.1
25_301_3045_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,km,kg CO2e,0.139306449,2023,20/06/2023,1.1
25_301_3045_4_2,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,km,kg CO2e of CO2 per unit,0.13763,2023,20/06/2023,1.1
25_301_3045_4_3,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,km,kg CO2e of CH4 per unit,4.64E-06,2023,20/06/2023,1.1
25_301_3045_4_4,Scope 3,Business travel- land,Cars (by size),Small car,,Diesel,km,kg CO2e of N2O per unit,0.001671812,2023,20/06/2023,1.1
25_301_3046_4_1,Scope 3,Business travel- land,Cars (by size),Small car,,Petrol,km,kg CO2e,0.140798534,2023,20/06/2023,1.1
